Researcher,Year,Title,Type,Abstract,Source,Authors,Institution,Topics,Affiliation Match
Federica Amici,2024,Quantity Discrimination in 9 Ungulate Species: Individuals Take Item Number and Size into Account to Discriminate Quantities,preprint,"The ability to discriminate quantities is crucial for animals, by allowing individuals to maximize food intake and successfully navigate in their social environment. Here, we compared the quantity discrimination abilities of 9 different species of ungulates, testing a total of 37 captive subjects including goats (Capra aegagrus hircus), llamas (Lama glama), guanacos (Lama guanicoe), Grevy's zebras (Equus grevyi), Chapman's zebras (Equus burchelli chapmanni), rhinos (Diceros bicornis michaeli), giraffes (Giraffa camelopardalis rothschildi), bison (Bison bonasus) and buffalos (Syncerus caffer nanus). Our results revealed that subjects were able to discriminate quantities when presented with two sets of food items that could differ in number, size and partially density. When presented with sets containing a different number of identical food items, subjects successfully selected the set with more items, with performance overall decreasing when sets had higher ratios (e.g., 1:3 vs 1:5). In addition, subjects could successfully maximize their food intake when both sets had the same number of items but items had different sizes. However, performance decreased at chance levels when varying both the number of items and their size or distribution. Giraffes performed better than other species in most conditions, and we found no evidence for an irrational bias toward sets with more, smaller items or denser distributions. Overall, our study provides a first comparative assessment of quantity discrimination skills in several ungulate species.","<a href=""https://openalex.org/W4396915998"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Álvaro L. Caicoya, Anja Widdig, Ruben Holland, Federica Amici","Research Institute for Farm Animal Biology (FBN), Leipzig University",Cognitive and developmental aspects of mathematical skills,University of Leipzig
Federica Amici,2024,Evidence of behavioral contagion in captive black-and-white ruffed lemurs (Varecia variegata) and red ruffed lemurs (Varecia rubra),preprint,"<title>Abstract</title> Behavioral contagion is thought to have a significant role in social synchronization and coordination across animal taxa. While there is extensive evidence of behavioral contagion in Haplorrhines (i.e. monkeys and apes), limited research exists in Strepsirrhines (i.e. lemurs). Here, we aimed to investigate the presence of contagious yawning and scratching in two captive groups of black-and-white ruffed lemurs (<italic>Varecia variegata</italic>) (N = 4) and red ruffed lemurs (<italic>Varecia rubra</italic>) (N = 4), and further test whether behavioral contagion is modulated by the model’s dominance rank. We conducted all occurrence sampling to examine whether individuals observing a yawning or scratching event (i.e. trigger event) were more likely to yawn or scratch in the following 2 minutes, as compared to individuals who did not observe it. We ran generalized linear mixed models and found that the likelihood of yawning and scratching was higher for individuals observing the trigger event than for individuals who did not observe the event, although the model’s dominance rank had no modulating effect on the probability of showing behavioral contagion. Our findings represent the first evidence of behavioral contagion in this genus and contribute to shed light on the distribution and the possible adaptive function of this phenomenon in primates.","<a href=""https://openalex.org/W4397001937"" target=""_blank"">OpenAlex</a>","William Padilha Lemes, Federica Amici","University of Debrecen, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2024,Applying the human component model of parenting to other primates: Developmental patterns of mother-child interactions across primate species,article,"The component model of human parenting has been extensively used to study parents’ interactions with their offspring and to examine variation across cultural contexts. The current study applies this model to nonhuman primates to investigate which forms of parenting humans share with other primates and how these interactions change over infants’ first year of life. We repeatedly observed 52 mother-infant pairs, including humans ( N = 11), chimpanzees and bonobos ( N = 21), and several species of small apes ( N = 20), during different daily activities when infants were 1, 6, and 12 months of age. Humans differed from apes in their higher probability of face-to-face contact and the use of object stimulation. Moreover, parenting seemed to be characterized by more variability within humans than within and possibly between ape species. Overall, the component model of parenting appears to be an effective tool to study the functional systems of parenting behavior in a comparative developmental perspective, by allowing direct comparisons between human and non-human primate species across development.","<a href=""https://openalex.org/W4398780883"" target=""_blank"">OpenAlex</a>","Katja Liebal, Manuela Ersson-Lembeck, Federica Amici, Martin Schultze, Manfred Holodynski","Freie Universität Berlin, Max Planck Institute for Evolutionary Anthropology, Goethe University Frankfurt, University of Münster, Leipzig University",Child and Animal Learning Development,University of Leipzig
Federica Amici,2024,"Perception of optical illusions in ungulates: insights from goats, sheep, guanacos and llamas",article,"Optical illusions have long been used in behavioural studies to investigate the perceptual mechanisms underlying vision in animals. So far, three studies have focused on ungulates, providing evidence that they may be susceptible to some optical illusions, in a way similar to humans. Here, we used two food-choice tasks to study susceptibility to the Müller-Lyer and Delboeuf illusions in 17 captive individuals belonging to four ungulate species ( Lama guanicoe, Lama glama , Ovis aries, Capra hircus ). At the group level, there was a significant preference for the longer/larger food over the shorter/smaller one in control trials. Additionally, the whole group significantly preferred the food stick between two inward arrowheads over an identical one between two outward arrowheads in experimental trials of the Müller-Lyer task, and also preferred the food on the smaller circle over an identical one on the larger circle in the experimental trials of the Delboeuf task. Group-level analyses further showed no significant differences across species, although at the individual level we found significant variation in performance. Our findings suggest that, in line with our predictions, ungulates are overall susceptible to the Müller-Lyer and the Delboeuf illusions, and indicate that the perceptual mechanisms underlying size estimation in artiodactyls might be similar to those of other species, including humans.","<a href=""https://openalex.org/W4398783226"" target=""_blank"">OpenAlex</a>","Caterina Berardo, Ruben Holland, Alina Schaffer, Álvaro L. Caicoya, Katja Liebal, Paola Valsecchi, Federica Amici","University of Parma, Research Institute for Farm Animal Biology (FBN), Leipzig University",Primate Behavior and Ecology,University of Leipzig
Carly A. Anderson,2018,Cortical correlates of speech intelligibility measured using functional near-infrared spectroscopy (fNIRS),article,"Functional neuroimaging has identified that the temporal, frontal and parietal cortex support core aspects of speech processing. An objective measure of speech intelligibility based on cortical activation in these brain regions would be extremely useful to speech communication and hearing device applications. In the current study, we used noise-vocoded speech to examine cortical correlates of speech intelligibility in normally-hearing listeners using functional near-infrared spectroscopy (fNIRS), a non-invasive, neuroimaging technique that is fully-compatible with hearing devices, including cochlear implants. In twenty-three normally-hearing adults we measured (1) activation in superior temporal, inferior frontal and inferior parietal cortex bilaterally and (2) behavioural speech intelligibility. Listeners heard noise-vocoded sentences targeting five equally spaced levels of intelligibility between 0 and 100% correct. Activation in superior temporal regions increased linearly with intelligibility. This relationship appears to have been driven in part by changing acoustic properties across stimulation conditions, rather than solely by intelligibility per se. Superior temporal activation was also predictive of individual differences in intelligibility in a challenging listening condition. Beyond superior temporal cortex, we identified regions in which activation varied non-linearly with intelligibility. For example, in left inferior frontal cortex, activation peaked in response to heavily degraded, yet still somewhat intelligible, speech. Activation in this region was linearly related to response time on a simultaneous behavioural task, suggesting it may contribute to decision making. Our results indicate that fNIRS has the potential to provide an objective measure of speech intelligibility in normally-hearing listeners. Should these results be found to apply similarly in the case of individuals listening through a cochlear implant, fNIRS would demonstrate potential for a clinically useful measure not only of speech intelligibility, but also of listening effort.","<a href=""https://openalex.org/W2892879472"" target=""_blank"">OpenAlex</a>","Rachael Lawrence, Ian M. Wiggins, Carly A. Anderson, Jodie Davies-Thompson, Douglas E. H. Hartley","MRC Institute of Hearing Research, University of Nottingham, Queen's Medical Centre, National Institute for Health Research, Nottingham University Hospitals NHS Trust, Medical Research Council, Nottingham Biomedical Research Centre, Swansea University",Optical Imaging and Spectroscopy Techniques,University College London
Carly A. Anderson,2019,Pre-operative Brain Imaging Using Functional Near-Infrared Spectroscopy Helps Predict Cochlear Implant Outcome in Deaf Adults,article,"Currently, it is not possible to accurately predict how well a deaf individual will be able to understand speech when hearing is (re)introduced via a cochlear implant. Differences in brain organisation following deafness are thought to contribute to variability in speech understanding with a cochlear implant and may offer unique insights that could help to more reliably predict outcomes. An emerging optical neuroimaging technique, functional near-infrared spectroscopy (fNIRS), was used to determine whether a pre-operative measure of brain activation could explain variability in cochlear implant (CI) outcomes and offer additional prognostic value above that provided by known clinical characteristics. Cross-modal activation to visual speech was measured in bilateral superior temporal cortex of pre- and post-lingually deaf adults before cochlear implantation. Behavioural measures of auditory speech understanding were obtained in the same individuals following 6 months of cochlear implant use. The results showed that stronger pre-operative cross-modal activation of auditory brain regions by visual speech was predictive of poorer auditory speech understanding after implantation. Further investigation suggested that this relationship may have been driven primarily by the inclusion of, and group differences between, pre- and post-lingually deaf individuals. Nonetheless, pre-operative cortical imaging provided additional prognostic value above that of influential clinical characteristics, including the age-at-onset and duration of auditory deprivation, suggesting that objectively assessing the physiological status of the brain using fNIRS imaging pre-operatively may support more accurate prediction of individual CI outcomes. Whilst activation of auditory brain regions by visual speech prior to implantation was related to the CI user's clinical history of deafness, activation to visual speech did not relate to the future ability of these brain regions to respond to auditory speech stimulation with a CI. Greater pre-operative activation of left superior temporal cortex by visual speech was associated with enhanced speechreading abilities, suggesting that visual speech processing may help to maintain left temporal lobe specialisation for language processing during periods of profound deafness.","<a href=""https://openalex.org/W2955201346"" target=""_blank"">OpenAlex</a>","Carly A. Anderson, Ian M. Wiggins, Pádraig T. Kitterick, Douglas E. H. Hartley","Nottingham Biomedical Research Centre, National Institute for Health Research",Hearing Loss and Rehabilitation,University College London
Carly A. Anderson,2020,The Benefit of Cross-Modal Reorganization on Speech Perception in Pediatric Cochlear Implant Recipients Revealed Using Functional Near-Infrared Spectroscopy,article,"Cochlear implants (CIs) are the most successful treatment for severe-to-profound deafness in children. However, speech outcomes with a CI often lag behind those of normally-hearing children. Some authors have attributed these deficits to the takeover of the auditory temporal cortex by vision following deafness, which has prompted some clinicians to discourage the rehabilitation of pediatric CI recipients using visual speech. We studied this cross-modal activity in the temporal cortex, along with responses to auditory speech and non-speech stimuli, in experienced CI users and normally-hearing controls of school-age, using functional near-infrared spectroscopy. Strikingly, CI users displayed significantly greater cortical responses to visual speech, compared with controls. Importantly, in the same regions, the processing of auditory speech, compared with non-speech stimuli, did not significantly differ between the groups. This suggests that visual and auditory speech are processed synergistically in the temporal cortex of children with CIs, and they should be encouraged, rather than discouraged, to use visual speech.","<a href=""https://openalex.org/W3049182983"" target=""_blank"">OpenAlex</a>","Faizah Mushtaq, Ian M. Wiggins, Pádraig T. Kitterick, Carly A. Anderson, Douglas E. H. Hartley","Nottingham Biomedical Research Centre, Nottingham University Hospitals NHS Trust, University of Nottingham, National Institute for Health Research",Hearing Loss and Rehabilitation,University College London
Carly A. Anderson,2019,Evaluating time-reversed speech and signal-correlated noise as auditory baselines for isolating speech-specific processing using fNIRS,article,"Evidence using well-established imaging techniques, such as functional magnetic resonance imaging and electrocorticography, suggest that speech-specific cortical responses can be functionally localised by contrasting speech responses with an auditory baseline stimulus, such as time-reversed (TR) speech or signal-correlated noise (SCN). Furthermore, these studies suggest that SCN is a more effective baseline than TR speech. Functional near-infrared spectroscopy (fNIRS) is a relatively novel, optically-based imaging technique with features that make it ideal for investigating speech and language function in paediatric populations. However, it is not known which baseline is best at isolating speech activation when imaging using fNIRS. We presented normal speech, TR speech and SCN in an event-related format to 25 normally-hearing children aged 6-12 years. Brain activity was measured across frontal and temporal brain areas in both cerebral hemispheres whilst children passively listened to the auditory stimuli. In all three conditions, significant activation was observed bilaterally in channels targeting superior temporal regions when stimuli were contrasted against silence. Unlike previous findings in infants, we found no significant activation in the region of interest over superior temporal cortex in school-age children when normal speech was contrasted against either TR speech or SCN. Although no statistically significant lateralisation effects were observed in the region of interest, a left-sided channel targeting posterior temporal regions showed significant activity in response to normal speech only, and was investigated further. Significantly greater activation was observed in this left posterior channel compared to the corresponding channel on the right side under the normal speech vs SCN contrast only. Our findings suggest that neither TR speech nor SCN are suitable auditory baselines for functionally isolating speech-specific processing in an experimental set up involving fNIRS with 6-12 year old children.","<a href=""https://openalex.org/W2959472121"" target=""_blank"">OpenAlex</a>","Faizah Mushtaq, Ian M. Wiggins, Pádraig T. Kitterick, Carly A. Anderson, Douglas E. H. Hartley","University of Nottingham, Queen's Medical Centre, National Institute for Health Research, Nottingham University Hospitals NHS Trust, Nottingham Biomedical Research Centre",EEG and Brain-Computer Interfaces,University College London
Carly A. Anderson,2021,Investigating Cortical Responses to Noise-Vocoded Speech in Children with Normal Hearing Using Functional Near-Infrared Spectroscopy (fNIRS),article,"Whilst functional neuroimaging has been used to investigate cortical processing of degraded speech in adults, much less is known about how these signals are processed in children. An enhanced understanding of cortical correlates of poor speech perception in children would be highly valuable to oral communication applications, including hearing devices. We utilised vocoded speech stimuli to investigate brain responses to degraded speech in 29 normally hearing children aged 6–12 years. Intelligibility of the speech stimuli was altered in two ways by (i) reducing the number of spectral channels and (ii) reducing the amplitude modulation depth of the signal. A total of five different noise-vocoded conditions (with zero, partial or high intelligibility) were presented in an event-related format whilst participants underwent functional near-infrared spectroscopy (fNIRS) neuroimaging. Participants completed a word recognition task during imaging, as well as a separate behavioural speech perception assessment. fNIRS recordings revealed statistically significant sensitivity to stimulus intelligibility across several brain regions. More intelligible stimuli elicited stronger responses in temporal regions, predominantly within the left hemisphere, while right inferior parietal regions showed an opposite, negative relationship. Although there was some evidence that partially intelligible stimuli elicited the strongest responses in the left inferior frontal cortex, a region previous studies have suggested is associated with effortful listening in adults, this effect did not reach statistical significance. These results further our understanding of cortical mechanisms underlying successful speech perception in children. Furthermore, fNIRS holds promise as a clinical technique to help assess speech intelligibility in paediatric populations.","<a href=""https://openalex.org/W3201209379"" target=""_blank"">OpenAlex</a>","Faizah Mushtaq, Ian M. Wiggins, Pádraig T. Kitterick, Carly A. Anderson, Douglas E. H. Hartley","Nottingham Biomedical Research Centre, University of Nottingham, National Institute for Health Research",Optical Imaging and Spectroscopy Techniques,University College London
Carly A. Anderson,2022,Cortical imbalance following delayed restoration of bilateral hearing in deaf adolescents,article,"Unilateral auditory deprivation in early childhood can lead to cortical strengthening of inputs from the stimulated side, yet the impact of this on bilateral processing when inputs are later restored beyond an early sensitive period is unknown. To address this, we conducted a longitudinal study with 13 bilaterally profoundly deaf adolescents who received unilateral access to sound via a cochlear implant (CI) in their right ear in early childhood before receiving bilateral access to sound a decade later via a second CI in their left ear. Auditory‐evoked cortical responses to unilateral and bilateral stimulation were measured repeatedly using electroencephalogram from 1 week to 14 months after activation of their second CI. Early cortical responses from the newly implanted ear and bilateral stimulation were atypically lateralized to the left ipsilateral auditory cortex. Duration of unilateral deafness predicted an unexpectedly stronger representation of inputs from the newly implanted, compared to the first implanted ear, in left auditory cortex. Significant initial reductions in responses were observed, yet a left‐hemisphere bias and unequal weighting of inputs favoring the long‐term deaf ear did not converge to a balanced state observed in the binaurally developed system. Bilateral response enhancement was significantly reduced in left auditory cortex suggesting deficits in ipsilateral response inhibition of new, dominant, inputs during bilateral processing. These findings paradoxically demonstrate the adaptive capacity of the adolescent auditory system beyond an early sensitive period for bilateral input, as well as restrictions on its potential to fully reverse cortical imbalances driven by long‐term unilateral deafness.","<a href=""https://openalex.org/W4223915109"" target=""_blank"">OpenAlex</a>","Carly A. Anderson, Sharon L. Cushing, Blake C. Papsin, Karen A. Gordon","Hospital for Sick Children, University of Toronto, Mental Health Research Canada",Vestibular and auditory disorders,University College London
Carly A. Anderson,2022,Impact of visual speech on gaze following in monolingual and bilingual adults,article,"ltered sensory and language experience can shape visual attention to faces. Hearing bilingual infants show increased visual attention to the mouth compared to monolingual infants. It is unclear how this altered visual attention to the face influences the processing of other crucial social cues, such as eye gaze. The goal of this online study was to determine how visual speech and participant’s prior language experience influences gaze following. Monolingual (n=20) and bilingual (n=22) hearing native English speakers (21.4 ± 2.7 yrs) were tested. The second language of bilingual participants encompassed a range of other languages. Participants performed a peripheral target discrimination task, preceded by cues to the target location that had equal probability of being valid or invalid. Cues were either arrow cues (a non-social control) or eye-gaze cues in a concurrently viewed static face. For these social gaze conditions, gaze shifts were accompanied by either: i) closed neutral mouth, ii) speech cues (linguistic mouth movements), or iii) non-speech cues (non-linguistic mouth movements). The magnitude of the gaze cueing effect was quantified as the difference between response times (RTs) on correctly performed valid and invalid trials. As a potential correlate, the lipreading ability of the subjects was assessed separately using an open-response, consonant-vowel-consonant word test. Across all conditions, bilinguals demonstrated a smaller gaze-cueing effect than monolinguals. In bilingual participants only, lipreading proficiency positively correlated with the gaze cueing effect when visual speech cues were also present, but not in non-speech conditions. Our results show that language experience can impact attentional orienting to facial cues. The effect in bilingual subjects may reflect enhanced division and shifting of attention between the eyes and the mouth when linguistic information is present in those participants who are more fluent lipreaders.","<a href=""https://openalex.org/W4311607408"" target=""_blank"">OpenAlex</a>","Nadia Gregoire-Mitha, Jason J.S. Barton, Mairéad MacSweeney, Carly A. Anderson","University of British Columbia, University College London",Multisensory perception and integration,University College London
Nadine Bade,2019,EXH passes on alternatives: a comment on Fox and Spector (2018),article,Abstract not available,"<a href=""https://openalex.org/W2911274414"" target=""_blank"">OpenAlex</a>","Nadine Bade, Konstantin Sachs",University of Tübingen,Williams Syndrome Research,University of Potsdam
Nadine Bade,2020,Presuppositions of determiners are immediately used to disambiguate utterance meaning: A mouse-tracking study on the German language,article,"The present study investigated how listeners understand and process the definite and the indefinite determiner. While the definite determiner clearly conveys a uniqueness presupposition, the status of the anti-uniqueness inference associated with the indefinite determiner is less clear. In a forced choice production task, we observed that participants make use of the information about number usually associated with the two determiners to convey a message. In a subsequent mouse-tracking task, participants had to select one of two potential referents presented on screen according to an auditorily presented stimulus sentence. The data revealed that participants use the information about uniqueness or anti-uniqueness encoded in determiners to disambiguate sentence meaning as early as possible, but only when they are exclusively faced with felicitous uses of determiners.","<a href=""https://openalex.org/W3015158602"" target=""_blank"">OpenAlex</a>","Cosima Schneider, Nadine Bade, Michael Franke, Markus Janczyk","Centre National de la Recherche Scientifique, Université Paris Sciences et Lettres, Institut Jean Nicod, University of Tübingen, École des hautes études en sciences sociales, École Normale Supérieure - PSL, University of Bremen, Osnabrück University",Reading and Literacy Development,University of Potsdam
Nadine Bade,2020,Is Immediate Processing of Presupposition Triggers Automatic or Capacity-Limited? A Combination of the PRP Approach with a Self-Paced Reading Task,article,"Informally speaking, presuppositions are meaning components which are part of the common ground for speakers in a conversation, that is, background information which is taken for granted by interlocutors. The current literature suggests an immediate processing of presuppositions, starting directly on the word triggering the presupposition. In the present paper, we focused on two presupposition triggers in German, the definite determiner the (German der ) and the iterative particle again (German wieder ). Experiment 1 replicates the immediate effects which were previously observed in a self-paced reading study. Experiment 2 then investigates whether this immediate processing of presuppositions is automatic or capacity-limited by employing the psychological refractory period approach and the locus of slack-logic, which have been successfully employed for this reason in various fields of cognitive psychology. The results argue against automatic processing, but rather suggest that the immediate processing of presuppositions is capacity-limited. This potentially helps specifying the nature of the involved processes; for example, a memory search for a potential referent.","<a href=""https://openalex.org/W3004509082"" target=""_blank"">OpenAlex</a>","Cosima Schneider, Nadine Bade, Markus Janczyk","University of Tübingen, University of Bremen","Language, Discourse, Communication Strategies",University of Potsdam
Nadine Bade,2024,Word learning tasks as a window into the triggering problem for presuppositions,article,"In this paper, we show that native speakers spontaneously divide the complex meaning of a new word into a presuppositional component and an assertive component. These results argue for the existence of a productive triggering algorithm for presuppositions, one that is not based on alternative lexical items nor on contextual salience. On a methodological level, the proposed learning paradigm can be used to test further theories concerned with the interaction of lexical properties and conceptual biases.","<a href=""https://openalex.org/W4403393880"" target=""_blank"">OpenAlex</a>","Nadine Bade, Philippe Schlenker, Emmanuel Chemla","University of Potsdam, New York University Paris, Institut Jean Nicod, École des hautes études en sciences sociales, École Normale Supérieure - PSL, Laboratoire de Sciences Cognitives et Psycholinguistique","Logic, Reasoning, and Knowledge",University of Potsdam
Nadine Bade,2022,Alternatives and attention in language and reasoning: A reply to Mascarenhas &amp; Picat 2019,article,"In this paper, we employ an experimental paradigm using insights from the psychology of reasoning to investigate the question whether certain modals generate and draw attention to alternatives. The article extends and builds on the methodology and findings of Mascarenhas &amp; Picat 2019. Based on experimental results, they argue that the English epistemic modal might raises alternatives. We apply the same methodology to the English modal allowed to to test different hypotheses regarding the involvement of alternatives in deontic modality. We find commonalities and differences between the two modals we tested. We discuss theoretical consequences for existing semantic analyses of these modals, and argue that reasoning tasks can serve as a diagnostic tool to discover which natural language expressions involve alternatives. EARLY ACCESS","<a href=""https://openalex.org/W4210526494"" target=""_blank"">OpenAlex</a>","Nadine Bade, Léo Picat, Woojin Chung, Salvador Mascarenhas","Center for Applied Linguistics, University of Potsdam, Seoul National University, Université Paris Sciences et Lettres, Institut Jean Nicod, École des hautes études en sciences sociales, Université Paris Cité","Language, Metaphor, and Cognition",University of Potsdam
Nadine Bade,2019,An experimental Investigation of Antipresuppositions,article,Abstract not available,"<a href=""https://openalex.org/W2920034331"" target=""_blank"">OpenAlex</a>","Nadine Bade, Florian Schwarz",,Neurobiology of Language and Bilingualism,University of Potsdam
Nadine Bade,2019,"(In-)definites, (anti-)uniqueness, and uniqueness expectations.",article,Abstract not available,"<a href=""https://openalex.org/W2979001878"" target=""_blank"">OpenAlex</a>","Nadine Bade, Florian Schwarz",,Topic not available,University of Potsdam
Nadine Bade,2021,A cross-linguistic view on the obligatory insertion of additive particles — Maximize Presupposition vs. Obligatory Implicatures,article,"Presupposition triggers, such as the additive particle too, the iterative particle again, and the definite determiner the, are obligatory if their presuppositions are satisfied in the context. This observation is accounted for in the literature by two theories: one based on Maximize Presupposition (e.g., Heim 1991; Percus 2006; Chemla 2008), the other based on Obligatory Implicatures (Bade 2016). In this paper, we report on two experiments in two typologically unrelated languages, Ga (Kwa) and German, which were designed to test the predictions of these two approaches for the insertion of additive particles. The results show that in both languages the insertion of additives is regulated by Obligatory Implicatures, posing challenges for Maximize Presupposition. Following Bade (2016), we assume a division of labor between the two theories in explaining obligatory presupposition effects.","<a href=""https://openalex.org/W3154992683"" target=""_blank"">OpenAlex</a>","Nadine Bade, Agata Renans","École Normale Supérieure, Ruhr University Bochum, École Normale Supérieure d'Abidjan, Institut Jean Nicod","Syntax, Semantics, Linguistic Variation",University of Potsdam
Nadine Bade,2020,Linguistics Meets Literature,book,Abstract not available,"<a href=""https://openalex.org/W3032520611"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Translation Studies and Practices,University of Potsdam
Nadine Bade,2022,Question-answer dynamics in deductive fallacies without language,preprint,"We introduce purely visual paradigms that convey the logical structure of illusory inferences from disjunction: (a AND b) OR c, a |- b. Although the logical information was conveyed entirely via non-linguistic means, we found that the visual paradigms induce reasoning fallacies, though less attractive than their linguistic counterparts. The visual paradigms highlight the role of alternative-based reasoning, or question-answer dynamics, as they control for narrowly interpretive processes that confound the study of their linguistic counterparts. To our knowledge, this is the first work to develop visual paradigms that represent reasoning fallacies committed by adults and involve multiple logical operators non-trivially embedded. Previous studies focused on pre-verbal children or non-human animals, and for this reason limited the scope of research to visually representing logically simple, valid inferences.","<a href=""https://openalex.org/W4280555093"" target=""_blank"">OpenAlex</a>","Woojin Chung, Nadine Bade, Sam Blanc-Cuenca, Salvador Mascarenhas","Centre National de la Recherche Scientifique, University of Potsdam, Seoul National University, Université Paris Sciences et Lettres, Institut Jean Nicod, École des hautes études en sciences sociales",Child and Animal Learning Development,University of Potsdam
Nadine Bade,2021,On the scope and nature of<i>Maximise Presupposition</i>,article,"The paper introduces the principle Maximise Presupposition and its cognates. The main focus of the literature and this article is on the inferences that arise as a result of reasoning with Maximise Presupposition (‘anti‐presuppositions’). I will review the arguments put forward for distinguishing them from other inference types, most notably presuppositions and conversational implicatures. I will zoom in on three main issues regarding Maximise Presupposition and these inferences critically discussed in the literature: epistemic strength(ening), projection, and the role of alternatives. I will discuss more recent views which argue for either a uniform treatment of anti‐presuppositions and implicatures and/or a revision of the original principle in light of new data and developments in pragmatics.","<a href=""https://openalex.org/W3167457164"" target=""_blank"">OpenAlex</a>",Nadine Bade,University of Potsdam,"Syntax, Semantics, Linguistic Variation",University of Potsdam
Nadine Bade,2021,New data on the competition between definites and indefinites,article,"In this paper, we report on four experiments investigating obligatory presupposition effects. Specifically, we look at the inferences arising from not using presupposition triggers when their use is supported by the context. We compare these inferences and the contextual factors for their derivation to presuppositions and implicatures. Extending previous work, we explore not only the English definite determiner ""the"" but also the dual ""both"" and their respective competition with the universal quantifiers ""every"" and ""all"".","<a href=""https://openalex.org/W3192880625"" target=""_blank"">OpenAlex</a>","Nadine Bade, Florian Schwarz","California University of Pennsylvania, Laboratoire de Géologie de l’École Normale Supérieure","Logic, programming, and type systems",University of Potsdam
Nadine Bade,2018,Obligatory Additives in the Antecedent of Conditionals,article,"The paper investigates the obligatory insertion of additive particles in the antecedent of conditionals. Two theories are compared with regard to their different predictions regarding this insertion. One theory works with the principle Maximize Presupposition (Heim, 1991), the other postulates a relation between mandatory exhaustivity inferences and insertion of additive particles (Bade, 2016). The first theory predicts additives to be obligatory under downward entailing (DE) operators which are holes for presuppositions. The second theory predicts the insertion of additives to not be obligatory under DE-operators due to the fact that exhaustivity inferences are usually blocked in these environments for independent reasons (Chierchia et al., 2012). Previous studies already suggest that additives (and iteratives) are not obligatory under negation, contrary to the predictions of Maximize Presupposition (Bade and Tiemann, 2016). In the present paper, an experimental study on the insertion of German “auch” in antecedent of conditionals is reported which tests the predictions of both theories and further confirms an account of obligatory additivity working with Obligatory Implicatures.","<a href=""https://openalex.org/W3118669542"" target=""_blank"">OpenAlex</a>",Nadine Bade,,"Syntax, Semantics, Linguistic Variation",University of Potsdam
Nadine Bade,2019,An Experimental Comparison of Two Reinterpretation Strategies: Benefits and Challenges of Using Fictional Contexts in Experimental Studies,article,Abstract not available,"<a href=""https://openalex.org/W2966325289"" target=""_blank"">OpenAlex</a>","Nadine Bade, Frauke Buscher",,Innovative Teaching Methodologies in Social Sciences,University of Potsdam
Nadine Bade,2020,New data on the nature of competition between definites and indefinites,article,Abstract not available,"<a href=""https://openalex.org/W3019412284"" target=""_blank"">OpenAlex</a>","Nadine Bade, Florian Schwarz",,Linguistics and language evolution,University of Potsdam
Nadine Bade,2019,Japanese 'wa' and 'ga' as Scope Markers of 'EXH',article,Abstract not available,"<a href=""https://openalex.org/W3034731949"" target=""_blank"">OpenAlex</a>","Nadine Bade, R. Nakanishi, F. Sode, Y. Iida, Shiichi Ihara, Masaharu Ebara, Hisami Ono, Yoichi Miyamoto, Uli Sauerland",,Phonetics and Phonology Research,University of Potsdam
Nadine Bade,2020,Linguistics Meets Literature,article,Abstract not available,"<a href=""https://openalex.org/W3135322419"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Translation Studies and Practices,University of Potsdam
Nadine Bade,2020,I.1 “To pile like Thunder”: Lexical Ambiguity,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4212789248"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Lexicography and Language Studies,University of Potsdam
Nadine Bade,2020,Bibliography,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4212871780"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Topic not available,University of Potsdam
Nadine Bade,2020,I.6 “My Life had stood – a Loaded Gun”: Semantic Mismatches and Coercion,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4212876542"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Topic not available,University of Potsdam
Nadine Bade,2020,I.3 “I’m Nobody!”: Interpreting Quantifiers,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4212904573"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Topic not available,University of Potsdam
Nadine Bade,2020,I.4 “This was a Poet”: Identifying Referents – Definites and Demonstratives,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4212931356"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Topic not available,University of Potsdam
